,Category,NumberOfVotes,BookID,Hyperlink,Title,Rating,RatingCount,ReviewCount,Position,PositionAndTitle
402,Memoir autobiography,2156,44288534,https://www.goodreads.com/book/show/44288534-what-is-a-girl-worth,What Is a Girl Worth? by Rachael Denhollander,4.65,2086,567,19,19 - What Is a Girl Worth? by Rachael Denhollander
403,History biography,833,40121946,https://www.goodreads.com/book/show/40121946-the-death-and-life-of-aida-hernandez,The Death and Life of Aida Hernandez by Aaron Bobrow-Strain,4.47,479,102,19,19 - The Death and Life of Aida Hernandez by Aaron Bobrow-Strain
404,Science technology,790,44065062,https://www.goodreads.com/book/show/44065062-something-deeply-hidden,Something Deeply Hidden by Sean Carroll,4.09,1399,207,19,19 - Something Deeply Hidden by Sean Carroll
405,Food cookbooks,897,40864247,https://www.goodreads.com/book/show/40864247-mostly-plants,Mostly Plants by Tracy Pollan,3.92,358,54,19,19 - Mostly Plants by Tracy Pollan
406,Graphic novels comics,1168,42835876,https://www.goodreads.com/book/show/42835876-the-wicked-the-divine-vol-9,"The Wicked + The Divine, Vol. 9 by Kieron Gillen",4.27,2014,327,19,"19 - The Wicked + The Divine, Vol. 9 by Kieron Gillen"
407,Poetry,1286,43726619,https://www.goodreads.com/book/show/43726619-a-fortune-for-your-disaster,A Fortune for Your Disaster by Hanif Abdurraqib,4.47,815,132,19,19 - A Fortune for Your Disaster by Hanif Abdurraqib
408,Young adult fiction,1464,40148146,https://www.goodreads.com/book/show/40148146-love-from-a-to-z,Love From A to Z by S.K. Ali,4.12,5401,1444,19,19 - Love From A to Z by S.K. Ali
409,Childrens,1344,43453642,https://www.goodreads.com/book/show/43453642-dear-sweet-pea,Dear Sweet Pea by Julie   Murphy,4.02,2270,472,19,19 - Dear Sweet Pea by Julie   Murphy
410,Picture,823,41954470,https://www.goodreads.com/book/show/41954470-rosie-the-dragon-and-charlie-make-waves,Rosie the Dragon and Charlie Make Waves by Lauren H. Kerstein,3.81,491,105,19,19 - Rosie the Dragon and Charlie Make Waves by Lauren H. Kerstein
411,Fiction,1238,41940306,https://www.goodreads.com/book/show/41940306-lanny,Lanny by Max Porter,4.13,12271,1827,20,20 - Lanny by Max Porter
412,Mystery thriller,1772,38355304,https://www.goodreads.com/book/show/38355304-the-line-between,The Line Between by Tosca Lee,4.09,2870,745,20,20 - The Line Between by Tosca Lee
413,Historical fiction,754,41454042,https://www.goodreads.com/book/show/41454042-the-summer-country,The Summer Country by Lauren Willig,3.86,3444,573,20,20 - The Summer Country by Lauren Willig
414,Fantasy,2047,38099642,https://www.goodreads.com/book/show/38099642-holy-sister,Holy Sister by Mark  Lawrence,4.35,14035,1484,20,20 - Holy Sister by Mark  Lawrence
415,Romance,1335,42079209,https://www.goodreads.com/book/show/42079209-brazen-and-the-beast,Brazen and the Beast by Sarah MacLean,4.12,6791,1080,20,20 - Brazen and the Beast by Sarah MacLean
416,Science fiction,584,40523931,https://www.goodreads.com/book/show/40523931-the-light-brigade,The Light Brigade by Kameron Hurley,3.97,4736,888,20,20 - The Light Brigade by Kameron Hurley
417,Horror,501,42186023,https://www.goodreads.com/book/show/42186023-petra-s-ghost,Petra's Ghost by C.S. O’Cinneide,3.89,196,67,20,20 - Petra's Ghost by C.S. O’Cinneide
418,Humor,997,42046110,https://www.goodreads.com/book/show/42046110-someone-who-will-love-you-in-all-your-damaged-glory,Someone Who Will Love You in All Your Damaged Glory by Raphael Bob-Waksberg,4.17,4221,684,20,20 - Someone Who Will Love You in All Your Damaged Glory by Raphael Bob-Waksberg
419,Nonfiction,675,36742978,https://www.goodreads.com/book/show/36742978-grace-will-lead-us-home,Grace Will Lead Us Home by Jennifer Berry Hawes,4.5,700,141,20,20 - Grace Will Lead Us Home by Jennifer Berry Hawes
420,Memoir autobiography,1306,43261166,https://www.goodreads.com/book/show/43261166-wild-game,Wild Game by Adrienne Brodeur,4.01,14451,1804,20,20 - Wild Game by Adrienne Brodeur
421,History biography,595,42972023,https://www.goodreads.com/book/show/42972023-the-anarchy,The Anarchy by William Dalrymple,4.24,2826,449,20,20 - The Anarchy by William Dalrymple
422,Science technology,788,40696923,https://www.goodreads.com/book/show/40696923-blueprint,Blueprint by Nicholas A. Christakis,3.94,1161,149,20,20 - Blueprint by Nicholas A. Christakis
423,Food cookbooks,876,40916358,https://www.goodreads.com/book/show/40916358-burn-the-place,Burn the Place by Iliana Regan,3.78,1045,151,20,20 - Burn the Place by Iliana Regan
424,Graphic novels comics,567,42667807,https://www.goodreads.com/book/show/42667807-die-vol-1,"Die, Vol. 1 by Kieron Gillen",4.08,2604,420,20,"20 - Die, Vol. 1 by Kieron Gillen"
425,Poetry,899,42977358,https://www.goodreads.com/book/show/42977358-the-girl-aquarium,The Girl Aquarium by Jen Campbell,3.74,363,58,20,20 - The Girl Aquarium by Jen Campbell
426,Young adult fiction,1264,39863399,https://www.goodreads.com/book/show/39863399-birthday,Birthday by Meredith Russo,4.25,5843,1466,20,20 - Birthday by Meredith Russo
427,Young adult fantasy,1859,39863498,https://www.goodreads.com/book/show/39863498-the-gilded-wolves,The Gilded Wolves by Roshani Chokshi,3.66,15311,4528,20,20 - The Gilded Wolves by Roshani Chokshi
428,Childrens,1295,39884337,https://www.goodreads.com/book/show/39884337-tristan-strong-punches-a-hole-in-the-sky,Tristan Strong Punches a Hole in the Sky by Kwame Mbalia,4.31,2180,574,20,20 - Tristan Strong Punches a Hole in the Sky by Kwame Mbalia
429,Picture,650,43662690,https://www.goodreads.com/book/show/43662690-snow-globe-wishes,Snow Globe Wishes by Erin Dealey,3.69,321,45,20,20 - Snow Globe Wishes by Erin Dealey
