,Category,NumberOfVotes,BookID,Hyperlink,Title,Rating,RatingCount,ReviewCount,Position,PositionAndTitle
179,Fiction,15767,43984883,https://www.goodreads.com/book/show/43984883-olive-again,"Olive, Again by Elizabeth Strout",4.17,41796,5452,9,"9 - Olive, Again by Elizabeth Strout"
180,Mystery thriller,14859,40121959,https://www.goodreads.com/book/show/40121959-miracle-creek,Miracle Creek by Angie  Kim,3.89,34779,5362,9,9 - Miracle Creek by Angie  Kim
182,Debut novel,5405,40121959,https://www.goodreads.com/book/show/40121959-miracle-creek,Miracle Creek by Angie  Kim,3.89,34779,5362,12,12 - Miracle Creek by Angie  Kim
184,Historical fiction,18878,44318414,https://www.goodreads.com/book/show/44318414-the-dutch-house,The Dutch House by Ann Patchett,4.17,133581,15454,9,9 - The Dutch House by Ann Patchett
185,Fantasy,15015,40524312,https://www.goodreads.com/book/show/40524312-black-leopard-red-wolf,"Black Leopard, Red Wolf by Marlon James",3.45,13362,3258,9,"9 - Black Leopard, Red Wolf by Marlon James"
186,Romance,13891,39709060,https://www.goodreads.com/book/show/39709060-pretty-reckless,Pretty Reckless by L.J. Shen,4.21,27926,3442,9,9 - Pretty Reckless by L.J. Shen
187,Science fiction,9095,41940388,https://www.goodreads.com/book/show/41940388-the-test,The Test by Sylvain Neuvel,3.86,10318,1996,9,9 - The Test by Sylvain Neuvel
188,Horror,5055,42527596,https://www.goodreads.com/book/show/42527596-the-twisted-ones,The Twisted Ones by T. Kingfisher,3.68,5155,1058,9,9 - The Twisted Ones by T. Kingfisher
189,Humor,8601,43908975,https://www.goodreads.com/book/show/43908975-small-doses,Small Doses by Amanda Seales,4.32,683,109,9,9 - Small Doses by Amanda Seales
190,Nonfiction,12091,44767249,https://www.goodreads.com/book/show/44767249-she-said,She Said by Jodi Kantor,4.4,18514,2152,9,9 - She Said by Jodi Kantor
191,Memoir autobiography,9340,43682552,https://www.goodreads.com/book/show/43682552-how-we-fight-for-our-lives,How We Fight For Our Lives by Saeed Jones,4.28,7885,1093,9,9 - How We Fight For Our Lives by Saeed Jones
